text,translation,target
"Im in da library, noelle and Kayla and connie just left. should i? maybe cuz im really bored. noone 2 chat and laugh with. ","Ich bin in der Bibliothek, Noelle, Kayla und Connie sind gerade gegangen. Sollte ich auch gehen? Vielleicht, weil ich wirklich gelangweilt bin. Niemanden zum Reden und Lachen.",0
@thedistraction im seeing mewithoutyou that night in NYC otherwise i would go ,"@thedistraction Ich sehe mewithoutyou an diesem Abend in NYC, sonst würde ich gehen.",0
@Jayme1988 ah bless craig... I seen some the other night on E4 bb docu... i felt really bad for him... ,"@Jayme1988 Oh, Craig segne dich... Ich habe neulich eine Dokumentation über ihn auf E4 gesehen... Ich habe wirklich Mitleid mit ihm gehabt...",0
I already miss my bear. ,Ich vermisse meinen Bären schon.,0
@brittanytran Magic is on Aug 31st - Sept 2nd.  Are you going? ,@brittanytran Magic ist vom 31. August bis 2. September. Gehst du hin?,4
"@hannahnicklin Aw, sorry to hear that  And it seemed so full of life yesterday! Tbh the USB went on a friends WinMob phone. Hmmm :-\","@hannahnicklin Oh, tut mir leid das zu hören. Und gestern schien es so voller Leben zu sein! Ehrlich gesagt, der USB ging auf dem WinMob-Telefon eines Freundes. Hmmm :-\",0
"@alisonrothwell Hi Ali, I can only DM you if you follow me  sucks huh? PM me through EKM if you like. Gaz","@alisonrothwell Hi Ali, ich kann dir nur eine Direktnachricht schicken, wenn du mir folgst. Blöd, oder? Schick mir eine Nachricht über EKM, wenn du willst. Gaz",0
omfg why am I working right now? ,Warum arbeite ich gerade jetzt?,0
@anrserge Cavs are making me sick Serge  if they dont win umma kick Bron where it hurts!,"@anrserge Die Cavs machen mich krank, Serge. Wenn sie nicht gewinnen, trete ich Bron dorthin, wo es wehtut!",0
@sreejith At least you got @karteekj create his account ,"@sreejith Wenigstens hast du @karteekj dazu gebracht, sein Konto zu erstellen.",4
wow i just watched the MTV movie awards on there website. poor Rob during the kiss i hope that was all intentional   ,"Wow, ich habe gerade die MTV Movie Awards auf ihrer Website gesehen. Armer Rob während des Kusses, ich hoffe, das war alles beabsichtigt.",0
@cazob then jb wiill sweep you up and take you with them ,@cazob Dann wird JB dich hochheben und mitnehmen.,4
dont like it when the tour ends. ,"Mag es nicht, wenn die Tour endet.",0
@crystalsinger I hope so too. French Prime Minister said we must prepare for the worst though and I fear he's right ,"@crystalsinger Ich hoffe auch. Der französische Premierminister sagte, wir müssen uns auf das Schlimmste vorbereiten, und ich fürchte, er hat recht.",0
"Sunday night, getting ready for bed and a full week at work ","Sonntagabend, mache mich bereit fürs Bett und eine volle Arbeitswoche.",0
We're getting violent.  Program randomly decided to hate us when we took a break to get food ,"Wir werden gewalttätig. Das Programm hat sich zufällig gegen uns entschieden, als wir eine Pause machten, um etwas zu essen.",0
"@svennemans Amen !! And let's not forget, the 14e GS title, which puts him right next to Sampras... No pressure, Roger, noooo pressure ","@svennemans Amen!! Und lasst uns nicht vergessen, den 14. GS-Titel, der ihn direkt neben Sampras stellt... Kein Druck, Roger, kein Druck.",4
my mom was just asking if i could work w/her on fri....so now i'm not sure....... ,"Meine Mutter hat gerade gefragt, ob ich am Freitag mit ihr arbeiten könnte... also bin ich mir jetzt nicht sicher...",0
is getting her hair dieddddddd. i miss my baby ,Lässt sich die Haare färben. Ich vermisse mein Baby.,0
I can sleep in more... Yay ,Ich kann länger schlafen... Juhu.,4
@Trucco905 yeah i have these extra strength things my mum takes for her leg! and no chemist will be open when i go... god! ,"@Trucco905 Ja, ich habe diese Extra-Stärke-Dinge, die meine Mutter für ihr Bein nimmt! Und keine Apotheke wird geöffnet sein, wenn ich gehe... Gott!",0
My dog is definitely cuter than yours. ,Mein Hund ist definitiv süßer als deiner.,4
@aldriniscool Awesome. I have the camera they modeled this after!! It's the one in our living room... along with everything else. ,"@aldriniscool Genial. Ich habe die Kamera, nach der sie dieses Modelliert haben!! Es ist die in unserem Wohnzimmer... zusammen mit allem anderen.",4
Home from work... Was missing my maddie bug   Now off to put clothes away and make our bed!!! Maybe sleep in it tonight!!!,"Zuhause von der Arbeit... Ich habe meine Maddie-Bug vermisst. Jetzt gehe ich, um die Kleidung wegzuräumen und unser Bett zu machen!!! Vielleicht darin schlafen heute Nacht!!!",0
fine...there are so many movies 2 anticipate...especially &quot;harry potter 6&quot;...cause that's shown on my birthmonth...wooot!!! ,"gut... es gibt so viele Filme, auf die man sich freuen kann... besonders ""Harry Potter 6""... weil das in meinem Geburtsmonat gezeigt wird... wooot!!!",4
I love the theme song. &quot;It all started with the big bang BANG!!!&quot; ,"Ich liebe das Titellied. ""Es begann alles mit dem großen Knall KNALL!!!""",4
is off to the gym... to do some hectic cardio training ,geht ins Fitnessstudio... um ein intensives Cardio-Training zu machen.,4
I can't stand to watch this ,"Ich kann nicht ertragen, das anzuschauen.",0
