text,translation,target
"Im in da library, noelle and Kayla and connie just left. should i? maybe cuz im really bored. noone 2 chat and laugh with. ","Je suis à la bibliothèque, Noelle, Kayla et Connie viennent de partir. Devrais-je partir aussi ? Peut-être, car je m'ennuie vraiment. Personne avec qui discuter et rire.",0
@thedistraction im seeing mewithoutyou that night in NYC otherwise i would go ,@thedistraction je vais voir mewithoutyou ce soir à NYC sinon j'irais.,0
@Jayme1988 ah bless craig... I seen some the other night on E4 bb docu... i felt really bad for him... ,"@Jayme1988 ah, pauvre Craig... J'ai vu quelque chose l'autre soir dans un docu de BB sur E4... je me sentais vraiment mal pour lui...",0
I already miss my bear. ,Mon ours me manque déjà.,0
@brittanytran Magic is on Aug 31st - Sept 2nd.  Are you going? ,@brittanytran Magic a lieu du 31 août au 2 septembre. Tu y vas ?,4
"@hannahnicklin Aw, sorry to hear that  And it seemed so full of life yesterday! Tbh the USB went on a friends WinMob phone. Hmmm :-\","@hannahnicklin Oh, désolé d'apprendre ça. Et ça semblait si plein de vie hier ! En fait, la clé USB est allée sur le téléphone WinMob d'un ami. Hmmm :-\",0
"@alisonrothwell Hi Ali, I can only DM you if you follow me  sucks huh? PM me through EKM if you like. Gaz","@alisonrothwell Salut Ali, je ne peux te DM que si tu me suis, c'est nul hein ? Envoie-moi un MP via EKM si tu veux. Gaz",0
omfg why am I working right now? ,OMFG pourquoi je travaille en ce moment ?,0
@anrserge Cavs are making me sick Serge  if they dont win umma kick Bron where it hurts!,"@anrserge Les Cavs me rendent malade Serge, si ils ne gagnent pas je vais botter Bron là où ça fait mal !",0
@sreejith At least you got @karteekj create his account ,@sreejith Au moins tu as réussi à convaincre @karteekj de créer son compte.,4
wow i just watched the MTV movie awards on there website. poor Rob during the kiss i hope that was all intentional   ,"Wow, je viens de regarder les MTV Movie Awards sur leur site web. Pauvre Rob pendant le baiser, j'espère que c'était intentionnel.",0
@cazob then jb wiill sweep you up and take you with them ,@cazob alors JB va te prendre et t'emmener avec eux.,4
dont like it when the tour ends. ,Je n'aime pas quand la tournée se termine.,0
@crystalsinger I hope so too. French Prime Minister said we must prepare for the worst though and I fear he's right ,"@crystalsinger J'espère aussi. Le Premier Ministre français a dit que nous devons nous préparer au pire, et j'ai peur qu'il ait raison.",0
"Sunday night, getting ready for bed and a full week at work ","Dimanche soir, je me prépare pour aller au lit et une semaine complète de travail.",0
We're getting violent.  Program randomly decided to hate us when we took a break to get food ,Ça devient violent. Le programme a décidé de nous détester au hasard quand nous avons pris une pause pour manger.,0
"@svennemans Amen !! And let's not forget, the 14e GS title, which puts him right next to Sampras... No pressure, Roger, noooo pressure ","@svennemans Amen !! Et n'oublions pas, le 14e titre en Grand Chelem, ce qui le place juste à côté de Sampras... Pas de pression, Roger, aucune pression.",4
my mom was just asking if i could work w/her on fri....so now i'm not sure....... ,Ma mère me demandait si je pouvais travailler avec elle vendredi... donc maintenant je ne suis pas sûr...,0
is getting her hair dieddddddd. i miss my baby ,Je vais me faire teindre les cheveux. Mon bébé me manque.,0
I can sleep in more... Yay ,Je peux dormir plus longtemps... Hourra.,4
@Trucco905 yeah i have these extra strength things my mum takes for her leg! and no chemist will be open when i go... god! ,@Trucco905 ouais j'ai ces trucs extra forts que ma mère prend pour sa jambe! et aucune pharmacie ne sera ouverte quand j'y vais... mon dieu!,0
My dog is definitely cuter than yours. ,Mon chien est définitivement plus mignon que le tien.,4
@aldriniscool Awesome. I have the camera they modeled this after!! It's the one in our living room... along with everything else. ,@aldriniscool Génial. J'ai l'appareil photo sur lequel ils ont modelé ça!! C'est celui dans notre salon... avec tout le reste.,4
Home from work... Was missing my maddie bug   Now off to put clothes away and make our bed!!! Maybe sleep in it tonight!!!,De retour du travail... Ma maddie bug me manquait. Maintenant je vais ranger les vêtements et faire notre lit!!! Peut-être y dormir ce soir!!!,0
fine...there are so many movies 2 anticipate...especially &quot;harry potter 6&quot;...cause that's shown on my birthmonth...wooot!!! ,"d'accord... il y a tellement de films à anticiper... surtout ""harry potter 6""... parce que c'est diffusé pendant mon mois de naissance... wouhou!!!",4
I love the theme song. &quot;It all started with the big bang BANG!!!&quot; ,"J'adore la chanson thème. ""Tout a commencé avec le grand bang BANG!!!""",4
is off to the gym... to do some hectic cardio training ,va à la salle de sport... pour faire un entraînement cardio intense,4
I can't stand to watch this ,Je ne supporte pas de regarder ça,0
Only problem is that TIFF files can't be larger than 4GB ,Le seul problème est que les fichiers TIFF ne peuvent pas dépasser 4 Go,0
@erockett89 i wish i was home in bed naked ,@erockett89 j'aimerais être chez moi au lit nu,0
"My day so far, laundry, trip into town, back home.  Now am going to have a well deserved break before lunch then a visit to the library ","Ma journée jusqu'à présent, lessive, voyage en ville, de retour à la maison. Maintenant je vais prendre une pause bien méritée avant le déjeuner puis une visite à la bibliothèque",4
"@hellonhairylegs Trueblood and Dexter should be back within weeks! Best. Shows. Ok, maybe not Ever but Currently at any rate. ","@hellonhairylegs Trueblood et Dexter devraient revenir dans quelques semaines! Meilleures. Émissions. Bon, peut-être pas les meilleures de tous les temps mais actuellement en tout cas.",4
@savvygrl Eww.. That looks gross... I am guilty of still eating fish... ,@savvygrl Beurk... Ça a l'air dégoûtant... Je suis coupable de continuer à manger du poisson...,0
"Let me rephrase the last 3 jokes from dane were funny, in nfl blitz if you do somethin bad ass 3 times in a row you are on fire ","Permettez-moi de reformuler les 3 dernières blagues de Dane étaient drôles, dans NFL Blitz si vous faites quelque chose de génial 3 fois de suite vous êtes en feu",4
"So according to Mr. Tagg, if I do this Peer Tutoring, he'll let me be an Environment Prefect next year. Yay for extra cred ","Donc selon M. Tagg, si je fais ce Tutorat par les pairs, il me laissera être un Préfet de l'Environnement l'année prochaine. Youpi pour des points en plus",4
Lakers lead by six in overtime yay! ,Les Lakers mènent de six points en prolongation youpi!,4
@JefferyPatch LOL definantly not hot haha. And I would for sure cry if u kicked my unhealed boobs ,@JefferyPatch LOL définitivement pas sexy haha. Et je pleurerais sûrement si tu me frappais les seins non cicatrisés,0
@lindseliz tweet tweet! why can't i write on your wall? ,@lindseliz tweet tweet! pourquoi je ne peux pas écrire sur ton mur?,0
@Liinduhhh are you serious biff ? ,@Liinduhhh tu es sérieuse biff ?,0
@NuGoth lol So am I - kinda  What is it you do actually?,@NuGoth lol Moi aussi - un peu  Qu'est-ce que tu fais en fait?,4
@YourMyTwilight have fun! ,Amuse-toi bien!,4
@ElizaPatricia The glasses make you look coquettish. ,Les lunettes te donnent un air coquet.,4
"@qclindalou Haha, that only helps if anything.  Thanks.","Haha, ça n'aide que si c'est le cas. Merci.",4
Went to a bbq at Janet's.   Out of the nuggets loop but think they lost due to facebook comments. ,"Suis allé à un barbecue chez Janet. Pas au courant pour les nuggets, mais je pense qu'ils ont perdu à cause des commentaires sur Facebook.",0
What's your fav milkshake place in #flagstaff ? #flg needing a creamy delightful pick me up ,Quel est ton endroit préféré pour les milkshakes à #flagstaff ? #flg besoin d'une délicieuse boisson crémeuse pour me remonter le moral.,4
"Watched the New Moon trailer just then, now just have to wait for the next one ","Viens de regarder la bande-annonce de New Moon, maintenant il ne reste plus qu'à attendre la prochaine.",4
wants to go to Disneyland! ,Veut aller à Disneyland!,0
@KatyLinda oh no  i thought both would be cool - guess i'm not cool w/ the 4yr olds lol,"Oh non, je pensais que les deux seraient cool - je suppose que je ne suis pas cool avec les enfants de 4 ans lol.",0
@trvsbrkr http://twitpic.com/4hvhs - She's cute ,Elle est mignonne.,4
@Tharomas 24 ,24.,0
@GirlswithGoals I'm sorry to hear about the death of your beloved canine ,Je suis désolé d'apprendre la mort de votre cher chien.,0
still hav my cough! now it mite be bronchitis!  bec everytime i cough my chest hurts! so dont lik doctors...,"J'ai toujours ma toux ! Maintenant ça pourrait être une bronchite ! Parce qu'à chaque fois que je tousse, ma poitrine me fait mal ! Je n'aime pas les médecins...",0
Splish splash  welcome summer,"Plouf plouf, bienvenue été.",4
"Okay, apparently I DIDN'T miss the deadline for JB m&amp;g's, but it would be kinda lame to win, I would feel really bad about it. ","D'accord, apparemment je n'ai PAS raté la date limite pour les rencontres avec JB, mais ce serait un peu nul de gagner, je me sentirais vraiment mal à ce sujet.",0
@stacey_baby good morning girlie  How are you? xo,"Bonjour ma belle, comment vas-tu ? Bisous.",4
@Lemonpi is it the one on your blog? next will be mushrooms ,"Est-ce celui sur ton blog ? Ensuite, ce sera les champignons.",4
Who is going to the Online Fashion 100 party tonight in London? I am invited but nobody to go with ,Qui va à la soirée Online Fashion 100 ce soir à Londres ? Je suis invitée mais je n'ai personne avec qui y aller.,0
lol @QueenLizII - maybe the Queen does tweet! ,lol @QueenLizII - peut-être que la Reine tweete !,4
"ohhh! and and and, haha, lol. Swag? igotmyswagback?? HAhaa. Honestly I feel flattered. ","Ohhh! Et et et, haha, lol. Swag ? igotmyswagback ?? HAhaa. Honnêtement, je me sens flatté.",4
@wimjimjam yes yes yes... stupid people  UNLESS it's my twitter use? ROFL...but I use wi-fi at home :/,Oui oui oui... les gens stupides À MOINS que ce soit mon utilisation de Twitter ? MDR... mais j'utilise le Wi-Fi à la maison :/,0
soooooo i finally joined twitter... what do you know. and terminator was freaking awesome!!!!! christian totally made that movie ,J'ai enfin rejoint Twitter... qui l'eût cru. Et Terminator était incroyable ! Christian a vraiment fait ce film.,4
"it's not my job to know anybody, anybody says so, I would immediately keep distance with them......... ","Ce n'est pas mon travail de connaître qui que ce soit, si quelqu'un le dit, je prendrais immédiatement mes distances avec eux...",4
"Been working hard. London had glorious weather, came back to Kent and it was raining ","J'ai travaillé dur. Londres avait un temps magnifique, je suis rentré à Kent et il pleuvait.",0
yay! I'm leaving for Dallas! @cutekiwi you are still invited! ,Youpi ! Je pars pour Dallas ! @cutekiwi tu es toujours invité !,4
@BBManik naw  are you!?,@BBManik naw et toi !?,0
R.I.P. Sidekick. You've been through quite a lot with me ,"Repose en paix, Sidekick. Tu as vécu tellement de choses avec moi.",0
embarrassed. reality check ,Gêné. Réalité.,0
I don't feed into bullshit.... Sorry  awwwwww what a cock succer !!!!!!!,"Je ne m'embarrasse pas de conneries... Désolé, awwwwww quel suceur de queue !!!!!!!",0
@savagestar That would be cute ,@savagestar Ce serait mignon.,4
eaten way too much junk food. feel as if i'm about to explode! not good ,J'ai trop mangé de cochonneries. J'ai l'impression d'exploser ! Pas bon.,0
gonna watch 'the outsiders' ,Je vais regarder 'The Outsiders'.,4
Aplusk..are u tlking to me?? ,Aplusk... tu me parles ??,4
On the phone with my baby. I miss him so much. ,Au téléphone avec mon bébé. Il me manque tellement.,0
@jendavis I understand! I've put 70k on the car I've had for just 3 years ,@jendavis Je comprends ! J'ai mis 70k sur la voiture que j'ai depuis seulement 3 ans.,0
Fuddruckers with @gcmilatzo ,Fuddruckers avec @gcmilatzo.,4
@DonnieWahlberg hope ya hit the Waffle House up in VA Beach too!  ,@DonnieWahlberg j'espère que tu iras aussi au Waffle House à VA Beach !,4
